original_source,old_output_v0,old_output_v1,witness_trimmed_frame,witness_raw_frame,marker_p90_pixels,marker_max_pixels,reason
0,0,87,516,516,18.681316464551717,18.967156839253743,"cabinet displacement/rotation relative to stationary background, sustained across unoccluded marker observations and visually reviewed contours"
1,1,88,684,692,25.597153808810877,25.769778027309357,"cabinet displacement/rotation relative to stationary background, sustained across unoccluded marker observations and visually reviewed contours"
2,2,89,444,461,24.887514741313904,25.501035583910244,"cabinet displacement/rotation relative to stationary background, sustained across unoccluded marker observations and visually reviewed contours"
4,4,91,210,217,9.729760860297173,11.421510124282927,"cabinet displacement/rotation relative to stationary background, sustained across unoccluded marker observations and visually reviewed contours"
5,5,92,204,236,5.850960316502286,7.418781983324421,"cabinet displacement/rotation relative to stationary background, sustained across unoccluded marker observations and visually reviewed contours"
6,6,93,204,211,5.867907741616552,9.568184672785902,"cabinet displacement/rotation relative to stationary background, sustained across unoccluded marker observations and visually reviewed contours"
12,12,99,432,437,9.043983674563473,13.687776035024923,"cabinet displacement/rotation relative to stationary background, sustained across unoccluded marker observations and visually reviewed contours"
14,14,101,360,377,6.6109404531308344,6.774967382216186,"cabinet displacement/rotation relative to stationary background, sustained across unoccluded marker observations and visually reviewed contours"
15,15,102,174,192,6.049779024880993,7.011276485525305,"cabinet displacement/rotation relative to stationary background, sustained across unoccluded marker observations and visually reviewed contours"
21,21,108,516,517,32.74211822774334,36.13501078408519,"cabinet displacement/rotation relative to stationary background, sustained across unoccluded marker observations and visually reviewed contours"
24,24,111,198,209,4.820355421415856,5.090129203893021,"cabinet displacement/rotation relative to stationary background, sustained across unoccluded marker observations and visually reviewed contours"
28,28,115,516,521,11.080539159879308,11.426206664990712,"cabinet displacement/rotation relative to stationary background, sustained across unoccluded marker observations and visually reviewed contours"
35,35,122,384,386,28.21489500694363,28.847763713267632,"cabinet displacement/rotation relative to stationary background, sustained across unoccluded marker observations and visually reviewed contours"
36,36,123,666,667,24.076260532381326,25.159625142481627,"cabinet displacement/rotation relative to stationary background, sustained across unoccluded marker observations and visually reviewed contours"
37,37,124,144,146,6.320061085939821,6.921142209285029,"cabinet displacement/rotation relative to stationary background, sustained across unoccluded marker observations and visually reviewed contours"
38,38,125,384,385,7.09744193125324,7.251802733828292,"cabinet displacement/rotation relative to stationary background, sustained across unoccluded marker observations and visually reviewed contours"
45,45,132,648,666,23.40733214501084,23.57031821438203,"cabinet displacement/rotation relative to stationary background, sustained across unoccluded marker observations and visually reviewed contours"
65,65,152,366,368,7.7443585984981445,7.959917908564276,"cabinet displacement/rotation relative to stationary background, sustained across unoccluded marker observations and visually reviewed contours"
67,67,154,498,498,16.302056550536207,16.70372163672585,"cabinet displacement/rotation relative to stationary background, sustained across unoccluded marker observations and visually reviewed contours"
68,68,155,528,542,6.75740728625576,6.99594898499015,"cabinet displacement/rotation relative to stationary background, sustained across unoccluded marker observations and visually reviewed contours"
76,76,163,498,512,7.599806205912476,7.949369076320244,"cabinet displacement/rotation relative to stationary background, sustained across unoccluded marker observations and visually reviewed contours"
77,77,164,480,480,6.531494969251535,7.213903580151286,"cabinet displacement/rotation relative to stationary background, sustained across unoccluded marker observations and visually reviewed contours"
78,78,165,300,317,9.712044434787813,9.940143679452769,"cabinet displacement/rotation relative to stationary background, sustained across unoccluded marker observations and visually reviewed contours"
81,81,168,318,321,5.229578896423363,5.520111683949875,"cabinet displacement/rotation relative to stationary background, sustained across unoccluded marker observations and visually reviewed contours"
82,82,169,252,267,8.303772000718725,8.655086010515223,"cabinet displacement/rotation relative to stationary background, sustained across unoccluded marker observations and visually reviewed contours"
83,83,170,564,564,9.610169690736416,10.071203674924336,"cabinet displacement/rotation relative to stationary background, sustained across unoccluded marker observations and visually reviewed contours"
84,84,171,270,270,6.58547644457605,10.692216253083236,"cabinet displacement/rotation relative to stationary background, sustained across unoccluded marker observations and visually reviewed contours"
85,85,172,450,455,6.8979320314213854,9.420805813464758,"cabinet displacement/rotation relative to stationary background, sustained across unoccluded marker observations and visually reviewed contours"
