source_episode,raw_frames,head_removed,tail_removed,trimmed_frames
0,634,0,0,634
1,858,8,0,850
2,715,17,0,698
3,805,14,0,791
4,673,7,0,666
5,675,32,0,643
6,738,7,0,731
7,608,0,0,608
8,618,4,0,614
9,633,27,0,606
10,632,18,0,614
11,605,11,0,594
12,573,5,0,568
13,698,4,0,694
14,506,17,0,489
15,516,18,0,498
16,541,4,0,537
17,597,6,0,591
18,599,16,0,583
19,562,15,0,547
20,524,0,0,524
21,770,1,0,769
22,577,0,0,577
23,576,1,0,575
24,638,11,0,627
25,527,0,0,527
26,595,5,0,590
27,513,2,0,511
28,562,5,0,557
29,520,6,0,514
30,562,9,0,553
31,548,2,0,546
32,540,10,0,530
33,547,2,0,545
34,607,0,0,607
35,603,2,0,601
36,695,1,0,694
37,575,2,0,573
38,541,1,0,540
39,595,8,0,587
40,575,10,0,565
41,506,6,0,500
42,541,2,0,539
43,561,5,0,556
44,578,9,0,569
45,701,18,0,683
46,775,6,0,769
47,801,2,0,799
48,794,3,0,791
49,661,7,0,654
50,778,8,0,770
51,708,4,0,704
52,780,4,0,776
53,721,9,0,712
54,611,5,0,606
55,739,10,0,729
56,740,5,0,735
57,715,9,0,706
58,711,8,0,703
59,658,5,0,653
60,675,10,0,665
61,683,9,0,674
62,778,6,0,772
63,658,19,0,639
64,653,8,0,645
65,761,2,0,759
66,507,8,0,499
67,553,0,0,553
68,625,14,0,611
69,595,9,0,586
70,504,9,0,495
71,557,11,0,546
72,607,10,0,597
73,606,12,0,594
74,686,11,0,675
75,510,6,0,504
76,649,14,0,635
77,620,0,0,620
78,570,17,0,553
79,489,10,0,479
80,594,15,0,579
81,609,3,0,606
82,605,15,0,590
83,625,0,0,625
84,458,0,0,458
85,616,5,0,611
86,615,11,0,604
